,234
,243
,245
,560
,675
,247
138,287
,732
,125
,129
,135
,170
,193
,121
,95
,98
37,830
189,111
,404
,415
,416
,479
49,489
,597
7,256
76,259
176,359
62,522
,93
39,113
,117
37,79
37,80
37,83
156,296
156,297
156,298
148,311
148,312
148,313
148,316
,321
60,326
60,327
,329
151,331
,347
,354
22,614
,242
,668
,22
50,73
53,494
,501
47,391
,134
,201
47,209
49,215
46,497
,498
,526
49,530
,548
55,611
,90
181,103
181,104
,112
54,434
,470
11,601
72,190
72,191
,192
,195
,196
,197
43,78
43,88
,398
,506
,511
,514
,656
,366
,367
60,757
27,384
38,89
38,564
157,377
157,378
,382
,557
,708
,15
,114
,426
,427
